@RELATION skeleton

@ATTRIBUTE x0 REAL
@ATTRIBUTE y0 REAL
@ATTRIBUTE z0 REAL
@ATTRIBUTE x1 REAL
@ATTRIBUTE y1 REAL
@ATTRIBUTE z1 REAL
@ATTRIBUTE x2 REAL
@ATTRIBUTE y2 REAL
@ATTRIBUTE z2 REAL
@ATTRIBUTE x5 REAL
@ATTRIBUTE y5 REAL
@ATTRIBUTE z5 REAL
@ATTRIBUTE x6 REAL
@ATTRIBUTE y6 REAL
@ATTRIBUTE z6 REAL
@ATTRIBUTE x8 REAL
@ATTRIBUTE y8 REAL
@ATTRIBUTE z8 REAL
@ATTRIBUTE x11 REAL
@ATTRIBUTE y11 REAL
@ATTRIBUTE z11 REAL
@ATTRIBUTE x12 REAL
@ATTRIBUTE y12 REAL
@ATTRIBUTE z12 REAL
@ATTRIBUTE x14 REAL
@ATTRIBUTE y14 REAL
@ATTRIBUTE z14 REAL
@ATTRIBUTE x16 REAL
@ATTRIBUTE y16 REAL
@ATTRIBUTE z16 REAL
@ATTRIBUTE x17 REAL
@ATTRIBUTE y17 REAL
@ATTRIBUTE z17 REAL
@ATTRIBUTE x19 REAL
@ATTRIBUTE y19 REAL
@ATTRIBUTE z19 REAL
@ATTRIBUTE x20 REAL
@ATTRIBUTE y20 REAL
@ATTRIBUTE z20 REAL
@ATTRIBUTE x21 REAL
@ATTRIBUTE y21 REAL
@ATTRIBUTE z21 REAL
@ATTRIBUTE x23 REAL
@ATTRIBUTE y23 REAL
@ATTRIBUTE z23 REAL
@ATTRIBUTE class {sitting, standing}

@DATA
312.15622,113.414536,2376.7202,300.10098,163.94267,2397.5063,292.32227,203.98984,2398.1145,275.29205,156.2266,2302506,296.85455,195.03035,2148856,360.70172,198.66234,2046.8635,323.01874,171.07057,2492.5068,337.26788,220.24202,2418.9778,334.1948,228.97891,2708597,268.0701,241.16008,2336.3137,235.23752,296.99036,2037.3967,253.80186,380.8077,2123.4114,300.18927,246.72842,2461.1313,314.39008,310.44476,2103.0198,297.9629,397.25595,2195.0479,sitting
312.15643,113.32098,2377.0146,300.2786,163.85559,2396.7534,292.44058,204.2625,2397.8865,275.24078,156.20041,2302.9163,296.3751,195.42728,2150.2961,377.84772,200.82068,2025.0748,323.4297,170.93393,2490.5906,333.9885,220.25569,2454.3735,335073,228.69548,2700.5715,267.47183,241.71854,2335.4998,234.35646,294.74203,2025.7009,253.7124,380.28305,2119.9805,300.86398,247.3937,2462.5393,313.25012,312.2354,2109.1677,297.74658,397.77704,2196.9011,sitting
312.17255,113.14738,2377055,300.28027,163.60158,2396.4954,292.36777,203.73521,2397.5312,275.12842,155.83762,2303.0852,295.94684,195.48978,2150.6687,375.77786,201.12727,2031.0011,323.54498,170783,2489.9053,333.56155,219.81622,2457.4263,335.23294,228.0149,2699.5935,266.9721,240.77617,2334.3677,234.8917,293.07605,2026.5659,254.22063,380.7757,2119.8784,301.0402,246.73277,2462.7668,312.35928,311.90482,2108.7744,297.52896,397.2919,2196.5874,sitting
312.20682,113.2015,2377.0427,300.34903,163.54393,2399197,292.96268,204.19408,2398492,275.3055,155.90277,2304.4116,295.41068,195.04422,2153072,373.47632,201.38399,2031.81,323.48895,170.60428,2493.9824,333.70444,219.56543,2452.5994,339.4964,226.40323,2594.9077,268.67276,242.03781,2334.5256,239.43944,301.27155,2065.2607,256.20496,384.51337,2159.2283,301.60245,247.55293,2461048,311.49963,310.30298,2098.6147,297.46454,395.99957,2196.9143,sitting
312.03027,113.39293,2376.9897,300.17606,163.37633,2399.0376,293.2643,204.09927,2397.8215,274916,155.95694,2305429,295.30948,195.22467,2153.7595,375.93042,200.8533,2033.3047,323.5389,170.23845,2492.6462,342.99902,219.90965,2448.2898,340.8156,226.32564,2534.9663,269.5757,242.19386,2335031,241.49242,302.84018,2071.8474,255.31136,384.84863,2146.9128,302.2752,247.3995,2458.18,313.35986,310.33417,2089.8809,297.7178,395.13934,2197.6702,sitting
311.89136,113.42206,2376.7937,300.0286,162.99985,2397405,291.96487,205.20192,2381.5593,273.1435,153.64407,2316492,293.82968,192.97157,2165.4702,380.55682,198.18199,2033.0049,325.15817,171.74472,2478.3179,348.20468,222.98079,2442639,336.73798,242.30508,2429.1587,268.52878,244.41745,2320.6426,235.47014,302.24255,2034.1343,254.40266,387.69336,2128716,298.4868,251.3884,2410.7847,321.4402,298.81662,2073.9883,298.09634,387.4076,2207.7153,sitting
312.3182,113.56933,2377.3713,300.04156,163.32202,2397.1548,294.2765,204.71039,2382.2727,275.55984,154.98315,2303123,297.2823,194.86662,2152044,381.5159,200.15778,2024.0176,322.67514,171.0314,2491.1865,341.32623,220.68369,2431186,333.96756,241.41168,2406.5532,275.0383,243.96745,2316.6018,235.94887,301.2525,2054.0732,255198,383.3227,2178552,301.27664,249.15935,2418.1794,322.1076,299.95685,2054514,297.91943,390.18552,2182.7305,sitting
312.61847,113.450066,2378.6648,300.07214,163.53781,2398.5154,295.41806,204.4261,2391.0876,278.2884,156.53107,2292.8726,301.3418,197.8846,2142.9038,387.83383,203.65309,2003.8912,320.0179,169.95335,2504158,338.70764,218.72365,2440.8577,346.30045,227.57513,2321882,277.22568,243.6066,2318.6904,237.14159,305.03854,2082.1187,256.7179,382.73737,2200885,303.52737,247.42766,2448.6294,308.37534,302.45856,2077.0078,298.68683,391.09427,2167027,sitting
312.73666,113.13842,2378693,300.25003,163.4908,2397.3813,295.02567,207.63057,2413004,277.3468,159.55634,2293.6887,301.7967,203.2797,2141.58,390.68057,206679,2009.0343,321.25418,167.09903,2501074,341.05554,216.45384,2426.1084,354.8007,217.4615,2058.1223,277.3934,251.21889,2371405,239.57976,314.44757,2073516,257.43185,386.54523,2153.5786,301.76932,251.18678,2485.8477,308.53467,297.6412,2087.7742,297.8964,386.05066,2170.9082,sitting
312.58768,113.10459,2378.8677,300325,163.87265,2390.4473,295.16724,203.14723,2392553,282.53262,157.95535,2267.9722,305.5701,201.23473,2111.2063,395.52667,205.00755,1995.3163,316.3831,169.21315,2512922,336.62637,218.00528,2435512,344.57083,220.53036,2079.8333,287.12558,242.08798,2374.4426,234.28123,308.10663,2092054,253.13475,382.85733,2169538,292.86304,242.61305,2414875,322.6522,299.7834,2061.0906,301.70914,389.8907,2157.7593,sitting
